17,-1,-1,35,18,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,1,7,1,-1,-1,-1,4,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,3,1,-1,-1,7,1,-1,-1,-1,11,1,1,2,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,56,-1,21,-1,-1,-1,-1,-1,-1,4,-1,-1,17,-1,1,-1,5,17,-1,-1,-1,-1,-1,-1,-1,134,-1,11,16,11,-1,3,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,1,-1,-1,-1,-1,-1,4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,12,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,3,-1,-1,-1,-1,-1,24,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,5,1,1,-1,6,-1,-1,2,3,-1,-1,3,-1,-1,-1,-1,27,12,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,6,1,-1,19,-1,-1,52,-1,-1,-1,2,-1,-1,1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,10,-1,10,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,4,-1,-1,3,4,1,-1,-1,5,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,4,-1,12,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,26,12,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,2,2,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,75,-1,2,4,-1,-1,43,-1,1,10,2,1,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,1,-1,-1,1,-1,4,2,-1,-1,-1,-1,9,13,4,3,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,8,-1,-1,6,3,-1,13,-1,-1,-1,-1,24,14,6,-1,22,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,18,-1,-1,7,-1,23,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,11,21,25,30,13,18,1,-1,-1,-1,-1,-1,6,-1,-1,44,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,17,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,7,6,3,1,5,1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,6,-1,1,-1,-1,8,3,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,9,-1,4,5,1,13,1,13,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,14,-1,23,-1,-1,25,-1,-1,-1,9,3,1,16,9,4,-1,22,6,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,7,7,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,82,-1,-1,-1,-1,5,-1,-1,18,-1,-1,-1,-1,-1,-1,8,11,-1,-1,-1,-1,-1,-1,35,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,1,2,-1,-1,-1,-1,16,-1,-1,41,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,4,-1,-1,-1,-1,6,13,-1,-1,-1,-1,11,13,2,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,32,1,-1,5,14,-1,-1,-1,-1,-1,4,-1,-1,22,9,-1,-1,-1,3,2,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,68,-1,-1,-1,-1,26,10,17,9,-1,-1,-1,3,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,260,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,4,-1,-1,-1,61,18,-1,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,12,16,1,1,2,3,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,38,-1,5,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,36,-1,4,35,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,9,11
17259,8,2,5,1,1,5,3,3,9,4,6,6,4,6,7,4,7,14,77,77,20190
22233,676,313,168,126,113,109,94,109,100,97,107,124,123,167,143,183,253,340,2511,2511,19259
28463,1100,509,328,243,199,196,182,161,171,161,167,200,207,254,276,321,400,632,4882,4882,15337
33599,1718,867,529,424,359,335,308,271,274,272,280,320,335,379,430,499,668,959,4222,4222,18881
38107,2603,1199,737,547,486,390,393,385,379,337,359,389,448,488,530,713,869,1313,6360,6360,17500
