-1,-1,-1,-1,20,-1,14,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,4,2,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,25,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4,-1,2,5,1,20,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,4,-1,30,-1,2,1,4,2,-1,11,2,-1,-1,10,-1,-1,5,-1,-1,-1,7,9,8,5,-1,-1,-1,16,9,-1,24,-1,-1,-1,1,-1,-1,-1,59,-1,-1,-1,9,19,12,4,-1,-1,-1,1,-1,27,-1,-1,-1,-1,2,-1,9,4,15,-1,-1,9,-1,-1,11,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,2,14,14,5,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,4,8,12,13,12,-1,-1,-1,-1,1,8,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,26,-1,-1,-1,-1,41,3,2,-1,-1,13,4,-1,-1,4,1,1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,32,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,4,3,1,4,16,2,-1,1,3,-1,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,18,-1,19,-1,3,-1,30,20,-1,-1,-1,9,6,-1,-1,-1,1,13,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,25,2,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,28,13,-1,-1,-1,-1,2,7,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,130,-1,40,-1,-1,-1,-1,-1,-1,59,8,-1,-1,-1,14,-1,10,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,11,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,8,-1,-1,-1,-1,3,2,-1,-1,10,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,14,1,1,1,2,-1,7,-1,39,-1,-1,-1,13,-1,39,-1,-1,-1,2,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,1,1,2,2,7,6,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,10,17,3,-1,2,-1,-1,12,-1,-1,-1,-1,-1,2,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,52,16,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,11,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,2,5,-1,5,5,-1,5,2,4,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,-1,-1,-1,-1,45,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,3,14,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,8,3,-1,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,44,7,14,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,2,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,2,9,-1,-1,-1,-1,-1,13,-1,-1,4,14,6,6,-1,-1,-1,16,-1,-1,50,-1,31,2,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,25,1,3,3,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,15,16,2,17,1,-1,30,1,-1,16,2,2,4,3,7,-1,-1,-1,-1,-1,4,-1,16,-1,-1,-1,-1,-1,5,13,5,2,6,18,-1,-1,40,2,4,-1,-1,-1,18,1,-1,24,-1,-1,-1,-1,-1,21,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,8,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,8,-1,-1,-1,-1,93,-1,32,-1,-1,-1,-1,33,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,28,-1,-1,-1,6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,15,9,-1,32,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,31,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,1,2,1,-1,-1,51,7,-1,-1,-1,-1,-1,17,6,-1,1,-1,-1,-1,30,-1,-1,-1,15,1,-1,-1,-1,5,-1,13,19,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,1,4,4,-1,26,3,-1,-1,-1,-1,-1,-1,-1,47,3,2,-1,-1,-1,-1,20,-1,10,-1,2,6,3,-1,30,1
17599,4,9,6,7,1,7,2,6,3,0,1,2,4,13,7,4,12,10,110,110,19828
23284,683,325,198,151,101,102,112,84,71,74,52,76,98,125,107,138,126,258,1972,1972,21582
29667,1236,647,408,298,238,194,210,161,182,187,182,180,178,240,221,257,350,491,3162,3162,17702
34582,1934,965,679,497,423,360,300,307,307,316,342,348,339,418,418,498,719,969,5456,5456,17898
39761,2463,1116,735,589,463,353,406,353,354,363,355,383,418,467,524,667,826,1328,7097,7097,17755
