7,-1,21,13,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,8,-1,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,36,-1,-1,14,8,-1,-1,54,2,-1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,8,-1,-1,2,3,-1,-1,-1,4,2,-1,-1,-1,-1,-1,-1,4,8,1,11,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,6,-1,10,-1,-1,1,2,16,-1,22,7,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,63,-1,-1,-1,11,-1,-1,-1,-1,-1,1,2,3,6,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,6,8,-1,-1,1,-1,-1,-1,1,4,10,1,9,-1,-1,-1,-1,-1,-1,32,14,7,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,9,-1,14,4,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,1,4,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,4,-1,1,-1,4,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,3,-1,23,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,72,-1,1,12,4,-1,-1,-1,1,2,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,12,2,8,-1,-1,-1,-1,2,-1,10,17,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,85,-1,-1,9,-1,-1,21,-1,-1,-1,38,8,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,27,7,19,-1,-1,-1,-1,19,6,18,-1,-1,17,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,1,2,-1,26,-1,16,1,-1,13,-1,-1,-1,5,7,-1,3,12,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,47,-1,-1,-1,-1,-1,-1,4,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,2,-1,2,-1,-1,-1,-1,-1,24,11,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,1,14,-1,32,-1,-1,6,2,-1,28,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,1,12,-1,2,-1,-1,-1,56,16,-1,-1,59,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,8,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,6,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,-1,-1,1,-1,24,7,19,1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,23,10,-1,-1,3,1,-1,25,-1,35,-1,-1,7,8,-1,9,11,18,4,7,12,1,-1,-1,-1,-1,-1,4,-1,37,-1,-1,-1,2,1,9,2,-1,-1,-1,-1,6,4,-1,-1,58,-1,-1,-1,-1,40,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,14,-1,-1,-1,27,-1,2,7,3,-1,-1,-1,5,-1,1,-1,-1,-1,-1,-1,13,1,1,1,1,2,6,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,28,6,-1,-1,-1,2,8,-1,3,3,-1,-1,-1,-1,5,-1,-1,-1,80,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,8,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,80,5,-1,-1,-1,1,1,6,5,-1,40,-1,3,-1,-1,-1,2,16,-1,39,1,2,-1,-1,-1,-1,1,2,10,-1,-1,11,1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,28,2,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,44,-1,35,-1,-1,-1,-1,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,5,10,-1,25,1,2,-1,-1,-1,8,5,-1,-1,11,3,-1,25,-1,-1,15
15505,7,3,5,2,5,2,6,11,5,3,8,7,6,4,8,6,3,6,69,69,19740
22120,437,204,155,112,85,78,90,66,63,76,92,79,83,95,109,106,172,250,2199,2199,18531
27242,1134,547,334,252,199,174,170,177,131,143,134,171,186,202,183,244,353,568,3848,3848,16580
32382,1697,784,536,407,340,282,274,262,238,211,231,249,263,307,341,461,639,1016,5511,5511,19077
36799,2413,1247,685,576,490,391,329,349,316,308,290,352,348,482,468,592,831,1325,6256,6256,16525
