-1,10,7,2,-1,-1,-1,-1,6,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,3,2,4,-1,3,16,15,-1,-1,-1,-1,-1,15,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,3,9,-1,36,-1,2,-1,-1,-1,12,6,1,-1,-1,-1,-1,14,-1,-1,-1,-1,96,-1,-1,-1,-1,20,-1,1,12,-1,-1,-1,-1,23,5,9,-1,2,-1,-1,-1,-1,-1,14,-1,21,-1,-1,1,3,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,18,4,-1,-1,1,4,2,9,4,-1,1,-1,-1,-1,-1,6,-1,3,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,46,4,20,3,1,7,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,12,-1,3,-1,8,-1,-1,3,3,2,8,8,18,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,1,1,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,15,-1,-1,41,-1,27,4,9,14,21,-1,6,-1,-1,2,-1,-1,-1,-1,12,-1,-1,51,2,2,14,-1,-1,-1,-1,1,1,3,2,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,47,8,9,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,5,4,10,-1,1,-1,-1,8,-1,-1,9,-1,5,-1,22,-1,4,1,-1,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,10,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,-1,8,2,-1,5,2,-1,-1,2,7,10,-1,-1,-1,-1,14,16,-1,2,11,3,10,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,1,5,19,-1,-1,7,18,-1,-1,-1,-1,-1,-1,120,16,17,-1,-1,-1,-1,21,13,-1,-1,-1,9,-1,-1,13,15,5,4,5,5,-1,-1,4,-1,1,2,5,-1,8,9,-1,-1,-1,10,7,-1,9,-1,-1,-1,10,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,7,-1,24,-1,18,-1,-1,-1,-1,3,-1,-1,8,-1,-1,-1,-1,4,-1,-1,-1,-1,12,-1,25,-1,-1,1,-1,29,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,14,-1,-1,-1,19,14,4,4,11,-1,-1,53,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,13,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,12,-1,9,16,-1,1,8,3,5,-1,6,8,3,11,2,10,-1,-1,-1,22,16,2,9,-1,1,1,-1,1,-1,-1,-1,-1,-1,37,-1,-1,19,-1,-1,-1,-1,-1,34,-1,-1,-1,69,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,20,-1,-1,-1,-1,-1,-1,9,12,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,7,4,17,7,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,6,1,4,-1,-1,-1,-1,-1,-1,10,-1,-1,7,1,-1,-1,-1,-1,-1,-1,-1,-1,24,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,16,-1,3,-1,24,-1,29,-1,-1,10,-1,1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,2,8,1,-1,1,-1,-1,-1,1,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,16,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,9,1,15,-1,-1,49,-1,35,28,35,4,35,-1,-1,-1,-1,16,1
16426,9,5,7,5,6,7,3,10,1,1,5,2,12,2,5,3,2,13,85,98,20292
23087,593,274,153,111,129,112,86,90,80,96,78,91,95,129,133,111,187,304,2079,2383,18981
27793,1158,617,417,305,287,222,218,186,182,212,179,188,197,205,253,271,347,478,3960,4438,18118
32914,1641,786,593,501,390,303,320,285,285,296,279,270,328,339,388,463,686,737,5046,5783,18800
37432,2287,1124,767,602,494,412,400,367,336,361,327,388,392,465,453,599,836,788,6359,7147,15066
