-1,-1,-1,-1,-1,19,5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3,4,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,14,-1,-1,-1,20,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1,6,4,-1,5,-1,11,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,19,-1,-1,11,6,8,-1,25,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,12,8,-1,2,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,130,7,-1,-1,49,-1,-1,-1,2,-1,-1,2,-1,-1,-1,31,7,4,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,9,3,-1,-1,-1,-1,-1,9,11,15,20,21,35,20,-1,16,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,-1,-1,-1,-1,7,-1,31,8,5,-1,-1,10,10,3,-1,-1,2,-1,-1,-1,-1,-1,-1,2,9,-1,-1,-1,7,-1,12,2,-1,-1,-1,1,-1,-1,-1,26,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,10,1,3,-1,-1,-1,-1,19,12,-1,8,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,4,2,7,1,4,-1,3,2,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,7,4,-1,2,10,2,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,1,-1,-1,-1,-1,-1,-1,46,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,2,4,6,-1,14,-1,19,1,10,3,1,2,2,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,22,2,-1,-1,-1,2,-1,-1,-1,-1,-1,14,4,6,-1,28,-1,-1,-1,-1,-1,3,1,2,-1,-1,-1,-1,-1,-1,51,-1,10,-1,-1,-1,9,14,-1,-1,-1,-1,1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,33,-1,-1,3,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,25,-1,25,14,4,19,-1,-1,43,16,16,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104,-1,-1,56,2,-1,19,-1,-1,-1,-1,-1,3,3,-1,-1,-1,2,1,-1,24,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,1,1,4,12,3,19,4,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,29,-1,-1,-1,8,8,5,8,2,-1,1,6,-1,-1,-1,15,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,1,19,-1,-1,-1,-1,10,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,9,-1,2,6,-1,-1,12,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,7,2,-1,4,6,-1,28,-1,1,-1,-1,-1,-1,-1,-1,-1,5,11,8,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,41,3,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,4,-1,-1,2,1,2,3,1,-1,-1,-1,62,-1,-1,-1,-1,-1,2,2,3,-1,-1,1,1,1,-1,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,9,-1
16114,14,12,11,12,7,6,2,16,4,1,9,11,10,7,12,3,3,6,132,138,21279
21614,564,245,160,106,86,74,60,90,74,75,87,99,96,96,128,133,190,265,2154,2419,19063
27140,1081,544,337,271,195,190,164,188,154,159,172,180,175,220,229,253,338,473,4101,4574,16551
31036,1708,821,554,447,352,301,257,297,257,268,235,341,297,312,394,425,578,729,5783,6512,16764
35464,2200,1116,679,530,467,423,378,379,354,325,356,427,423,430,513,569,794,947,6104,7051,16151
