-1,-1,-1,9,-1,8,1,25,-1,22,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,5,8,-1,3,5,7,1,2,-1,-1,12,-1,-1,-1,-1,-1,3,-1,37,6,-1,-1,4,1,2,-1,32,2,-1,-1,-1,17,-1,27,8,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,19,14,-1,13,13,3,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,6,5,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,10,6,6,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,-1,23,-1,-1,47,-1,19,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,3,-1,8,-1,-1,-1,-1,-1,39,-1,40,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,2,1,1,1,-1,-1,1,-1,-1,-1,-1,62,12,16,7,5,3,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,1,-1,23,13,-1,22,1,2,-1,28,4,1,-1,3,12,-1,24,2,-1,11,11,-1,3,-1,7,-1,-1,-1,-1,-1,9,5,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,24,-1,4,2,2,3,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,9,3,-1,-1,6,-1,-1,2,3,5,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,12,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,26,-1,-1,-1,7,10,-1,-1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,40,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,19,20,-1,-1,9,-1,14,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,3,5,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,1,-1,-1,-1,-1,-1,-1,3,13,15,16,18,20,25,12,17,1,1,-1,-1,-1,-1,12,4,-1,-1,-1,-1,4,1,-1,5,-1,-1,-1,-1,59,-1,37,-1,-1,-1,-1,6,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,1,-1,26,-1,3,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,30,1,-1,1,-1,3,5,2,-1,30,4,1,-1,-1,-1,-1,7,1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,21,4,-1,-1,4,5,1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,4,7,5,2,19,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,24,-1,-1,48,-1,-1,57,-1,-1,-1,-1,-1,-1,6,-1,25,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,10,11,-1,-1,6,2,1,19,-1,-1,-1,-1,-1,-1,-1,41,2,12,1,-1,24,-1,-1,14,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,15,-1,-1,-1,16,-1,1,3,7,2,-1,-1,8,13,-1,-1,-1,-1,-1,-1,-1,31,19,-1,-1,-1,-1,13,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,26,13,-1,-1,4,4,-1,-1,18,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,22,-1,-1,36,-1,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,23,5,5,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,10,1,6,-1,-1,25,12,-1,-1,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,14,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,1,6,-1,-1,-1,-1,-1,-1,-1,14,7,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,2,10,-1,34,7,4,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,35,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,10,-1,-1,-1,-1,-1,82,2,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,3,17,7,5,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,37,2,6,1,2
16478,17,17,3,2,1,5,9,14,3,2,4,3,4,4,5,9,8,11,124,135,21282
21159,544,219,138,103,97,71,95,84,80,90,92,86,82,114,97,152,170,227,1780,2007,19591
27311,1070,516,370,268,179,177,147,199,165,188,180,205,219,224,252,306,349,449,3590,4039,15701
33607,1769,887,603,424,357,310,233,249,240,269,271,296,287,368,407,465,561,674,5058,5732,17002
37089,2320,1161,792,605,455,421,383,342,333,356,334,350,397,480,495,621,797,865,7273,8138,14947
